商户编号,商户全称,商户简称,区域,商户地址,所属商圈编号,所属商圈名称,所属银行机构代码,商户机构代码,商户上架状态,省域,Qr Code,活动编号,城市,Sub Mer ID,Account Type,Shops Aptitude,组织机构表 → 总行标识,组织机构表 → 系统机构号,组织机构表 → 行政区划号,组织机构表 → 行名称,组织机构表 → 省域,组织机构表 → 城市,组织机构表 → 分行级别
800,蚌埠市蚌山区金煌文具商行,蚌埠市蚌山区金煌文具商行,蚌山区,安徽省蚌埠市胜利中路,44,宁波得力,129999,92340303MA2QWW41X2,ing,安徽省,MTYxNjEzNjIyNTgwMQ==,,蚌埠市,0292340303MA2QWW41X2,401,92340303MA2QWW41X2,ABC,129999,340000,安徽,安徽省,,1
801,蚌埠卓文商贸有限公司,蚌埠卓文商贸有限公司,禹会区,安徽省蚌埠市淮河路1110号,44,宁波得力,129999,9134030058723557XA,soldOut,安徽省,MTYxNjEzNjIyNjczNQ==,,蚌埠市,029134030058723557XA,401,9134030058723557XA,ABC,129999,340000,安徽,安徽省,,1
802,蚌埠市禹会区瀚文办公用品商行,蚌埠市禹会区瀚文办公用品商行,蚌山区,安徽省前进路小学门口,44,宁波得力,129999,92340304MA2W8HQ3X4,ing,安徽省,MTYxNjEzNjIyNzY4MQ==,,蚌埠市,0292340304MA2W8HQ3X4,401,92340304MA2W8HQ3X4,ABC,129999,340000,安徽,安徽省,,1
803,宿州市埇桥区宏洋文具店,宿州市埇桥区宏洋文具店,埇桥区,宿州埇桥区义乌商贸城,44,宁波得力,129999,92341302MA2U13FR88,ing,安徽省,MTYxNjEzNjIyODYzOA==,,宿州市,0292341302MA2U13FR88,401,92341302MA2U13FR88,ABC,129999,340000,安徽,安徽省,,1
804,泗县翟廷芝文具店,泗县翟廷芝文具店,泗县,泗县一小对面,44,宁波得力,129999,92341324MA2QCGXF6E,ing,安徽省,MTYxNjEzNjIyOTU3Ng==,,宿州市,0292341324MA2QCGXF6E,401,92341324MA2QCGXF6E,ABC,129999,340000,安徽,安徽省,,1
805,泗县得信商贸有限公司,泗县得信商贸有限公司,泗县,泗县一小西100米,44,宁波得力,129999,91341324MA2WH8JR6L,soldOut,安徽省,MTYxNjEzNjIzMDUzNA==,,宿州市,0291341324MA2WH8JR6L,401,91341324MA2WH8JR6L,ABC,129999,340000,安徽,安徽省,,1
806,泗县七月文具店,泗县七月文具店,泗县,宿州市泗县,44,宁波得力,129999,92341324MA2TYTT9X7,ing,安徽省,MTYxNjEzNjIzMTQ4Ng==,,宿州市,0292341324MA2TYTT9X7,401,92341324MA2TYTT9X7,ABC,129999,340000,安徽,安徽省,,1
807,濉溪县立仁文具店,濉溪县立仁文具店,濉溪县,安徽省淮北市濉溪县三堤口批发市场西门内,44,宁波得力,129999,92340621MA2NDLD45C,ing,安徽省,MTYxNjEzNjIzMjQzNg==,,淮北市,0292340621MA2NDLD45C,401,92340621MA2NDLD45C,ABC,129999,340000,安徽,安徽省,,1
808,淮北市赛硕商贸有限公司,淮北市赛硕商贸有限公司,相山区,安徽省淮北市相山区大华电脑城,44,宁波得力,129999,91340600598699126l,soldOut,安徽省,MTYxNjEzNjIzMzQxMw==,,淮北市,0291340600598699126l,401,91340600598699126l,ABC,129999,340000,安徽,安徽省,,1
809,淮北市相山区长城文体用品批发部,淮北市相山区长城文体用品批发部,相山区,安徽省淮北市相山区相南街道相山南路东侧,44,宁波得力,129999,92340603MA2PQEUH3D,ing,安徽省,MTYxNjEzNjIzNDM3MA==,,淮北市,0292340603MA2PQEUH3D,401,92340603MA2PQEUH3D,ABC,129999,340000,安徽,安徽省,,1
810,淮北市巅峰商贸有限公司,淮北市巅峰商贸有限公司,相山区,安徽省淮北市相山区大华现代城,44,宁波得力,129999,91340600095525079C,soldOut,安徽省,MTYxNjEzNjIzNTMwMQ==,,淮北市,0291340600095525079C,401,91340600095525079C,ABC,129999,340000,安徽,安徽省,,1
811,濉溪县百善环宇办公设备销售部,濉溪县百善环宇办公设备销售部,濉溪县,安徽省淮北市濉溪县百善镇百善街,44,宁波得力,129999,92340621MA2PR08KSE,ing,安徽省,MTYxNjEzNjIzNjIyMg==,,淮北市,0292340621MA2PR08KSE,401,92340621MA2PR08KSE,ABC,129999,340000,安徽,安徽省,,1
812,淮北市隆星文体商贸有限公司,淮北市隆星文体商贸有限公司,相山区,安徽省淮北市古城中路农林局楼下,44,宁波得力,129999,91340600731679328M,soldOut,安徽省,MTYxNjEzNjIzNzE5Mw==,,淮北市,0291340600731679328M,401,91340600731679328M,ABC,129999,340000,安徽,安徽省,,1
813,淮北泽锐商贸有限公司,淮北泽锐商贸有限公司,相山区,安徽省淮北市相山区久兴批发市场西区,44,宁波得力,129999,91340603MA2UD01T23,soldOut,安徽省,MTYxNjEzNjIzODEyNw==,,淮北市,0291340603MA2UD01T23,401,91340603MA2UD01T23,ABC,129999,340000,安徽,安徽省,,1
814,贵池区小许文体用品店,贵池区小许文体用品店,贵池区,池州市远东商贸城,44,宁波得力,129999,92341702MA2PPTR196,ing,安徽省,MTYxNjEzNjIzOTA3MQ==,,池州市,0292341702MA2PPTR196,401,92341702MA2PPTR196,ABC,129999,340000,安徽,安徽省,,1
815,池州市文飞商贸有限公司,池州市文飞商贸有限公司,贵池区,池州市远东商贸城,44,宁波得力,129999,91341700MA2RG7K84P,soldOut,安徽省,MTYxNjEzNjI0MDA0NA==,,池州市,0291341700MA2RG7K84P,401,91341700MA2RG7K84P,ABC,129999,340000,安徽,安徽省,,1
816,贵池区小程文具店,贵池区小程文具店,贵池区,池州市远东商贸城,44,宁波得力,129999,3.42901E+17,ing,安徽省,MTYxNjEzNjI0MDk3MA==,,池州市,2.3429E+18,401,3.42901E+17,ABC,129999,340000,安徽,安徽省,,1
817,丁国义,丁国义,贵池区,池州市远东商贸城,44,宁波得力,129999,92341702MA2RDCAL4P,ing,安徽省,MTYxNjEzNjI0MTkxNQ==,,池州市,0292341702MA2RDCAL4P,401,92341702MA2RDCAL4P,ABC,129999,340000,安徽,安徽省,,1
818,毫州市龙祥文具有限公司,毫州市龙祥文具有限公司,谯城区,安徽省亳州市谯城区蒙城路219号,44,宁波得力,129999,91341600MA2QHED08C,soldOut,安徽省,MTYxNjEzNjI0Mjg4MQ==,,亳州市,0291341600MA2QHED08C,401,91341600MA2QHED08C,ABC,129999,340000,安徽,安徽省,,1
819,毫州市卫侠商贸有限公司,毫州市卫侠商贸有限公司,谯城区,安徽省亳州市谯城区九中西门对面,44,宁波得力,129999,91341600MA2NMX7738,soldOut,安徽省,MTYxNjEzNjI0MzgyNA==,,亳州市,0291341600MA2NMX7738,401,91341600MA2NMX7738,ABC,129999,340000,安徽,安徽省,,1
820,亳州市仉氏商贸有限公司,亳州市仉氏商贸有限公司,谯城区,安徽省亳州市谯城区新华北路,44,宁波得力,129999,91341600MA2U78DDX1,soldOut,安徽省,MTYxNjEzNjI0NDc2Mw==,,亳州市,0291341600MA2U78DDX1,401,91341600MA2U78DDX1,ABC,129999,340000,安徽,安徽省,,1
821,阜阳市鸿伟贸易有限公司,阜阳市鸿伟贸易有限公司,颍泉区,阜阳市颍泉区人民东路永安巷17号,44,宁波得力,129999,91341200325497422M,soldOut,安徽省,MTYxNjEzNjI0NTcxNw==,,阜阳市,0291341200325497422M,401,91341200325497422M,ABC,129999,340000,安徽,安徽省,,1
822,亳州市泓鑫商贸有限公司,亳州市泓鑫商贸有限公司,谯城区,安徽省亳州市西马园中心街,44,宁波得力,129999,91341600MA2NK71U16,soldOut,安徽省,MTYxNjEzNjI0NjY3NA==,,亳州市,0291341600MA2NK71U16,401,91341600MA2NK71U16,ABC,129999,340000,安徽,安徽省,,1
823,利辛县潘亭文具店,利辛县潘亭文具店,利辛县,利辛县金利商贸城院内,44,宁波得力,129999,92341623MA2NL8NC27,ing,安徽省,MTYxNjEzNjI0NzYxNw==,,亳州市,0292341623MA2NL8NC27,401,92341623MA2NL8NC27,ABC,129999,340000,安徽,安徽省,,1
824,利辛县兴盛文具百货店,利辛县兴盛文具百货店,利辛县,亳州市利辛县文洲路北侧黄寨生产队,44,宁波得力,129999,2.34162E+15,ing,安徽省,MTYxNjEzNjI0ODU3OA==,,亳州市,2.34162E+15,401,2.34162E+15,ABC,129999,340000,安徽,安徽省,,1
825,利辛县大宇文体店,利辛县大宇文体店,利辛县,安徽省亳州市利辛县锦绣西路强力学府,44,宁波得力,129999,92341623MA2RK67PXJ,ing,安徽省,MTYxNjEzNjI0OTUwOQ==,,亳州市,0292341623MA2RK67PXJ,401,92341623MA2RK67PXJ,ABC,129999,340000,安徽,安徽省,,1
826,涡阳县同乐商贸有限公司,涡阳县同乐商贸有限公司,涡阳县,亳州市涡阳县紫光大道新法院对面,44,宁波得力,129999,91341621594294738G,soldOut,安徽省,MTYxNjEzNjI1MDQ1MQ==,,亳州市,0291341621594294738G,401,91341621594294738G,ABC,129999,340000,安徽,安徽省,,1
827,临泉县隆雨商贸有限公司,临泉县隆雨商贸有限公司,临泉县,临泉义乌商贸城,44,宁波得力,129999,91341221MA2RYH1A5Y,soldOut,安徽省,MTYxNjEzNjI1MTM5MQ==,,阜阳市,0291341221MA2RYH1A5Y,401,91341221MA2RYH1A5Y,ABC,129999,340000,安徽,安徽省,,1
828,阜南县志强文体商贸有限公司,阜南县志强文体商贸有限公司,阜南县,阜南曹集北路,44,宁波得力,129999,91341225MA2MX4Q077,soldOut,安徽省,MTYxNjEzNjI1MjM1NQ==,,阜阳市,0291341225MA2MX4Q077,401,91341225MA2MX4Q077,ABC,129999,340000,安徽,安徽省,,1
829,界首市幸运星文具店,界首市幸运星文具店,界首市,界首市西城批发市场,44,宁波得力,129999,92341282MA2UL4AD31,ing,安徽省,MTYxNjEzNjI1MzI5NA==,,阜阳市,0292341282MA2UL4AD31,401,92341282MA2UL4AD31,ABC,129999,340000,安徽,安徽省,,1
830,阜南县新泉文体有限公司,阜南县新泉文体有限公司,阜南县,阜南县富坡商城,44,宁波得力,129999,91341225MA2T419GXC,soldOut,安徽省,MTYxNjEzNjI1NDIzMA==,,阜阳市,0291341225MA2T419GXC,401,91341225MA2T419GXC,ABC,129999,340000,安徽,安徽省,,1
831,太和县鼎立文体用品有限公司,太和县鼎立文体用品有限公司,太和县,太和县第三小学边,44,宁波得力,129999,91341222MA2MXQFFXW,soldOut,安徽省,MTYxNjEzNjI1NTE5MA==,,阜阳市,0291341222MA2MXQFFXW,401,91341222MA2MXQFFXW,ABC,129999,340000,安徽,安徽省,,1
832,潜山市思敏文化经营部,潜山市思敏文化经营部,潜山市,潜山县三中旁,44,宁波得力,129999,92340824MA2RATJMX6,ing,安徽省,MTYxNjEzNjI1NjEzOA==,,安庆市,0292340824MA2RATJMX6,401,92340824MA2RATJMX6,ABC,129999,340000,安徽,安徽省,,1
1384,合肥岩泽办公用品有限公司,岩泽办公,包河区,合肥市包河区606号,44,宁波得力,129999,9134010007239861XC,ing,安徽省,MTYxNzcwNDk4ODc0OA==,,合肥市,029134010007239861XC,601,9134010007239861XC,ABC,129999,340000,安徽,安徽省,,1
